Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,def_cluster
Li Yang,CB,China PR,0.61,0.55,0.26,0.38,0.44,0.61,0.72,0.59,0.52,0.48,0.72,0.37,0.58,0.8,0.71,0.76,0.6,0.62,0.59,0.63,0.68,0.42,CB,DEF,5
Jonas Lietaert,CB,Belgium,0.61,0.56,0.26,0.49,0.47,0.63,0.55,0.58,0.55,0.53,0.57,0.6,0.61,0.56,0.5,0.56,0.65,0.64,0.64,0.62,0.53,0.27,CB,DEF,5
Rosaire Longelo,LB,England,0.61,0.82,0.51,0.55,0.63,0.53,0.57,0.83,0.82,0.76,0.73,0.59,0.55,0.6,0.61,0.67,0.56,0.54,0.52,0.54,0.48,0.59,LB,DEF,1
Kacper Lopata,CB,Poland,0.61,0.56,0.27,0.39,0.37,0.6,0.71,0.53,0.59,0.44,0.46,0.39,0.56,0.76,0.63,0.71,0.61,0.58,0.6,0.58,0.63,0.3,CB,DEF,5
Loïc Lüthi,CB,Switzerland,0.61,0.57,0.3,0.41,0.44,0.61,0.67,0.56,0.58,0.59,0.53,0.48,0.56,0.68,0.66,0.64,0.61,0.58,0.62,0.6,0.59,0.44,CB,DEF,5
Théo Magnin,RB,Switzerland,0.61,0.63,0.35,0.48,0.6,0.58,0.51,0.64,0.62,0.72,0.84,0.59,0.61,0.41,0.67,0.47,0.57,0.58,0.61,0.58,0.53,0.41,RB,DEF,1
Jahkeele Marshall-Rutty,RB,Canada,0.61,0.81,0.51,0.55,0.69,0.52,0.41,0.84,0.79,0.82,0.81,0.66,0.59,0.32,0.6,0.43,0.57,0.57,0.54,0.51,0.31,0.55,RB,DEF,1
James Maxwell,LB,Scotland,0.61,0.71,0.29,0.49,0.6,0.57,0.64,0.72,0.71,0.72,0.69,0.56,0.58,0.62,0.71,0.57,0.59,0.6,0.59,0.6,0.38,0.25,LB,DEF,1
Shane McEleney,CB,Republic of Ireland,0.61,0.32,0.33,0.49,0.44,0.58,0.72,0.31,0.32,0.3,0.31,0.52,0.53,0.81,0.56,0.66,0.6,0.52,0.58,0.56,0.62,0.54,CB,DEF,5
Robbie McKenzie,RB,England,0.61,0.67,0.47,0.54,0.54,0.57,0.71,0.66,0.68,0.58,0.52,0.54,0.56,0.72,0.78,0.7,0.59,0.58,0.54,0.58,0.57,0.63,RB,DEF,1
Jack McMillan,RB,Scotland,0.61,0.67,0.35,0.5,0.56,0.58,0.67,0.68,0.66,0.63,0.55,0.57,0.58,0.69,0.65,0.65,0.58,0.59,0.58,0.6,0.54,0.37,RB,DEF,1
Bissenty Mendy,CB,Senegal,0.61,0.63,0.27,0.43,0.45,0.61,0.66,0.66,0.61,0.36,0.55,0.5,0.61,0.7,0.6,0.7,0.62,0.6,0.6,0.6,0.61,0.37,CB,DEF,5
Metehan Mert,CB,Turkey,0.61,0.57,0.29,0.34,0.37,0.65,0.65,0.57,0.57,0.48,0.64,0.32,0.54,0.63,0.68,0.65,0.66,0.67,0.65,0.63,0.6,0.43,CB,DEF,5
Bastien Meupiyou,CB,France,0.61,0.58,0.33,0.43,0.43,0.62,0.62,0.61,0.56,0.43,0.44,0.49,0.48,0.68,0.56,0.7,0.69,0.68,0.55,0.58,0.66,0.42,CB,DEF,5
Felix Meyer,LB,Germany,0.61,0.72,0.38,0.56,0.54,0.57,0.68,0.71,0.73,0.57,0.59,0.53,0.61,0.73,0.63,0.76,0.58,0.55,0.57,0.55,0.6,0.43,LB,DEF,1
Tony Miettinen,CB,Finland,0.61,0.6,0.34,0.43,0.48,0.62,0.61,0.62,0.58,0.54,0.6,0.47,0.58,0.63,0.61,0.65,0.62,0.64,0.63,0.59,0.59,0.48,CB,DEF,5
Václav Míka,CB,Czech Republic,0.61,0.6,0.23,0.38,0.45,0.6,0.71,0.62,0.58,0.43,0.5,0.5,0.57,0.79,0.62,0.76,0.59,0.56,0.59,0.6,0.65,0.33,CB,DEF,5
Mateja Milovanović,CB,Serbia,0.61,0.65,0.34,0.48,0.56,0.62,0.64,0.65,0.65,0.57,0.6,0.57,0.54,0.69,0.59,0.68,0.64,0.63,0.62,0.61,0.59,0.4,CB,DEF,5
Min Gyeong Hyeon,LB,Korea Republic,0.61,0.75,0.33,0.44,0.58,0.55,0.68,0.73,0.76,0.72,0.79,0.54,0.6,0.68,0.76,0.61,0.58,0.54,0.56,0.53,0.44,0.32,LB,DEF,1
Danilo Mitrović,CB,Serbia,0.61,0.63,0.45,0.51,0.52,0.66,0.6,0.68,0.58,0.56,0.65,0.47,0.59,0.54,0.7,0.49,0.7,0.68,0.68,0.67,0.44,0.52,CB,DEF,1
Piotr Mroziński,RB,Poland,0.61,0.59,0.43,0.54,0.55,0.59,0.72,0.53,0.64,0.52,0.68,0.56,0.63,0.74,0.72,0.6,0.58,0.56,0.62,0.64,0.48,0.5,RB,DEF,5
Jefferson Nazareno,CB,Ecuador,0.61,0.63,0.32,0.41,0.49,0.63,0.66,0.61,0.64,0.67,0.62,0.5,0.45,0.68,0.67,0.68,0.63,0.62,0.61,0.67,0.6,0.51,CB,DEF,5
Momodou Lion Njie,CB,Norway,0.61,0.63,0.3,0.41,0.48,0.57,0.78,0.61,0.65,0.52,0.59,0.48,0.57,0.91,0.62,0.78,0.57,0.55,0.58,0.57,0.58,0.54,CB,DEF,5
Vinícius Nogueira,LB,Brazil,0.61,0.71,0.47,0.54,0.59,0.53,0.68,0.72,0.71,0.67,0.67,0.59,0.6,0.69,0.78,0.64,0.54,0.53,0.52,0.54,0.47,0.52,LB,DEF,1
Amin Nouri,RB,Norway,0.61,0.53,0.48,0.55,0.62,0.59,0.67,0.5,0.56,0.62,0.73,0.61,0.6,0.68,0.65,0.58,0.58,0.56,0.6,0.62,0.53,0.66,RB,DEF,1
Clinton Nsiala,CB,France,0.61,0.62,0.3,0.41,0.52,0.6,0.68,0.58,0.65,0.61,0.53,0.53,0.6,0.74,0.59,0.68,0.62,0.57,0.61,0.58,0.58,0.51,CB,DEF,5
David Odogu,CB,Germany,0.61,0.58,0.32,0.42,0.49,0.62,0.65,0.62,0.55,0.46,0.45,0.57,0.51,0.7,0.6,0.7,0.66,0.6,0.57,0.62,0.65,0.55,CB,DEF,5
David Okagbue,CB,Republic of Ireland,0.61,0.72,0.26,0.41,0.48,0.61,0.69,0.68,0.75,0.47,0.63,0.44,0.58,0.73,0.69,0.73,0.62,0.59,0.61,0.62,0.6,0.34,CB,DEF,5
Joseph Olowu,CB,England,0.61,0.73,0.32,0.42,0.51,0.6,0.7,0.66,0.79,0.59,0.59,0.5,0.58,0.74,0.7,0.73,0.6,0.61,0.6,0.61,0.6,0.45,CB,DEF,5
Devin Padelford,CB,United States,0.61,0.56,0.31,0.48,0.57,0.63,0.6,0.57,0.55,0.59,0.55,0.62,0.64,0.62,0.59,0.55,0.63,0.61,0.67,0.64,0.46,0.35,CB,DEF,5
Noah Pallas,LB,Finland,0.61,0.74,0.5,0.56,0.59,0.53,0.56,0.75,0.73,0.64,0.78,0.57,0.61,0.51,0.65,0.52,0.58,0.56,0.51,0.53,0.42,0.58,LB,DEF,1
Pamies,CB,Spain,0.61,0.65,0.29,0.49,0.55,0.62,0.64,0.66,0.64,0.59,0.6,0.58,0.57,0.64,0.66,0.68,0.63,0.6,0.61,0.61,0.61,0.47,CB,DEF,5
Ionuț Panțîru,LB,Romania,0.61,0.72,0.51,0.57,0.6,0.56,0.62,0.73,0.71,0.7,0.7,0.58,0.55,0.63,0.57,0.66,0.58,0.58,0.54,0.56,0.53,0.61,LB,DEF,1
Jasper Pattenden,RB,England,0.61,0.81,0.49,0.56,0.61,0.54,0.58,0.8,0.82,0.88,0.84,0.55,0.58,0.58,0.63,0.66,0.56,0.52,0.55,0.54,0.51,0.56,RB,DEF,1
Fredrik Carson Pedersen,RB,Norway,0.61,0.69,0.29,0.56,0.61,0.55,0.6,0.7,0.69,0.67,0.77,0.59,0.54,0.56,0.66,0.56,0.6,0.56,0.53,0.55,0.46,0.35,RB,DEF,1
Joaquín Pereyra,LB,Argentina,0.61,0.71,0.51,0.57,0.59,0.56,0.56,0.7,0.71,0.61,0.62,0.6,0.58,0.58,0.57,0.57,0.59,0.57,0.54,0.56,0.48,0.5,LB,DEF,1
Leonardo Pérez,CB,Venezuela,0.61,0.64,0.3,0.42,0.37,0.6,0.67,0.61,0.67,0.49,0.52,0.4,0.64,0.75,0.6,0.7,0.64,0.62,0.55,0.6,0.57,0.39,CB,DEF,5
Edoardo Pieragnolo,LB,Italy,0.61,0.68,0.34,0.47,0.55,0.55,0.61,0.64,0.71,0.55,0.59,0.58,0.6,0.59,0.67,0.51,0.61,0.64,0.54,0.51,0.4,0.37,LB,DEF,1
Darragh Power,RB,Republic of Ireland,0.61,0.71,0.32,0.49,0.54,0.57,0.58,0.72,0.7,0.67,0.57,0.52,0.54,0.54,0.7,0.56,0.58,0.56,0.62,0.55,0.46,0.35,RB,DEF,1
Mohammed Qasem,LB,Saudi Arabia,0.61,0.74,0.56,0.55,0.64,0.55,0.7,0.73,0.74,0.72,0.79,0.6,0.52,0.71,0.72,0.7,0.55,0.57,0.55,0.55,0.51,0.68,LB,DEF,1
Rao Weihui,LB,China PR,0.61,0.68,0.37,0.53,0.55,0.58,0.63,0.7,0.67,0.65,0.69,0.54,0.54,0.6,0.7,0.65,0.58,0.57,0.58,0.58,0.56,0.24,LB,DEF,1
Joshua Rawlins,RB,Australia,0.61,0.72,0.4,0.54,0.59,0.55,0.66,0.73,0.71,0.7,0.7,0.58,0.56,0.66,0.74,0.67,0.6,0.58,0.54,0.52,0.5,0.48,RB,DEF,1
Leon Reichardt,CB,Germany,0.61,0.58,0.38,0.52,0.55,0.63,0.6,0.63,0.54,0.46,0.6,0.6,0.63,0.59,0.65,0.63,0.65,0.63,0.64,0.58,0.59,0.43,CB,DEF,5
Peter Reinhardsen,RB,Norway,0.61,0.68,0.48,0.55,0.6,0.56,0.67,0.67,0.69,0.63,0.55,0.61,0.56,0.68,0.68,0.67,0.6,0.57,0.54,0.55,0.55,0.52,RB,DEF,1
Pau Resta,CB,Spain,0.61,0.58,0.38,0.46,0.47,0.62,0.64,0.55,0.6,0.48,0.58,0.55,0.5,0.66,0.67,0.66,0.65,0.62,0.59,0.61,0.63,0.53,CB,DEF,5
Callum Reynolds,CB,England,0.61,0.45,0.27,0.38,0.43,0.6,0.72,0.42,0.47,0.45,0.41,0.43,0.58,0.77,0.61,0.67,0.6,0.59,0.61,0.6,0.61,0.38,CB,DEF,5
Alessio Rizza,LB,Italy,0.61,0.68,0.48,0.53,0.62,0.56,0.52,0.64,0.72,0.69,0.69,0.6,0.57,0.49,0.63,0.44,0.62,0.63,0.53,0.54,0.42,0.59,LB,DEF,1
Felix Ruschke,LB,Germany,0.61,0.71,0.32,0.45,0.57,0.58,0.66,0.7,0.72,0.6,0.62,0.55,0.6,0.7,0.65,0.71,0.6,0.61,0.56,0.55,0.6,0.4,LB,DEF,1
Tate Russell,RB,Australia,0.61,0.8,0.46,0.55,0.59,0.54,0.63,0.82,0.78,0.74,0.74,0.56,0.56,0.6,0.71,0.7,0.56,0.54,0.52,0.55,0.5,0.52,RB,DEF,1
Taha Şahin,RB,Turkey,0.61,0.69,0.3,0.52,0.61,0.58,0.51,0.71,0.68,0.58,0.71,0.56,0.56,0.46,0.57,0.51,0.63,0.6,0.57,0.59,0.46,0.35,RB,DEF,1
Jack Sanders,CB,England,0.61,0.45,0.31,0.44,0.43,0.57,0.79,0.5,0.41,0.36,0.37,0.5,0.47,0.87,0.67,0.72,0.6,0.59,0.54,0.56,0.57,0.38,CB,DEF,5
Sais Santibáñez,LB,Peru,0.61,0.63,0.28,0.52,0.42,0.6,0.6,0.62,0.64,0.5,0.69,0.42,0.55,0.58,0.66,0.62,0.65,0.64,0.55,0.59,0.59,0.29,LB,DEF,4
Tate Schmitt,LB,United States,0.61,0.68,0.61,0.53,0.65,0.54,0.66,0.65,0.71,0.66,0.63,0.67,0.62,0.7,0.68,0.65,0.57,0.55,0.54,0.49,0.54,0.69,LB,DEF,1
Cory Sene,CB,Senegal,0.61,0.47,0.36,0.41,0.45,0.6,0.7,0.39,0.53,0.53,0.38,0.47,0.59,0.83,0.51,0.64,0.61,0.61,0.6,0.62,0.54,0.43,CB,DEF,5
Jack Senior,LB,England,0.61,0.76,0.24,0.5,0.57,0.56,0.68,0.78,0.74,0.81,0.74,0.52,0.56,0.67,0.74,0.71,0.56,0.55,0.55,0.58,0.54,0.27,LB,DEF,1
Junior Senneville,RB,France,0.61,0.56,0.49,0.59,0.6,0.59,0.5,0.61,0.52,0.58,0.78,0.63,0.61,0.46,0.51,0.5,0.63,0.6,0.57,0.59,0.53,0.52,RB,DEF,1
Daniel Șerbănică,LB,Romania,0.61,0.66,0.36,0.53,0.45,0.57,0.64,0.63,0.68,0.65,0.63,0.5,0.61,0.66,0.68,0.55,0.61,0.59,0.58,0.55,0.43,0.48,LB,DEF,1
Chinglensana Singh,CB,India,0.61,0.68,0.26,0.41,0.49,0.59,0.75,0.67,0.69,0.59,0.31,0.5,0.51,0.77,0.7,0.78,0.64,0.63,0.6,0.5,0.5,0.39,CB,DEF,5
Song Long,LB,China PR,0.61,0.67,0.37,0.54,0.59,0.56,0.68,0.7,0.64,0.57,0.68,0.61,0.54,0.72,0.7,0.75,0.54,0.56,0.56,0.55,0.65,0.34,LB,DEF,1
Maxime Soulas,CB,France,0.61,0.62,0.35,0.49,0.51,0.6,0.66,0.56,0.66,0.48,0.48,0.54,0.57,0.73,0.55,0.69,0.63,0.57,0.58,0.58,0.6,0.43,CB,DEF,5
Jason Sraha,CB,England,0.61,0.64,0.26,0.38,0.45,0.6,0.69,0.61,0.66,0.42,0.47,0.45,0.6,0.75,0.62,0.72,0.6,0.58,0.61,0.6,0.6,0.34,CB,DEF,5
Tony Strata,LB,Romania,0.61,0.65,0.34,0.52,0.59,0.57,0.55,0.66,0.64,0.72,0.75,0.55,0.59,0.52,0.63,0.53,0.62,0.55,0.54,0.58,0.49,0.34,LB,DEF,1
Yasir Subaşı,LB,Turkey,0.61,0.7,0.36,0.45,0.57,0.58,0.64,0.7,0.7,0.74,0.65,0.55,0.58,0.65,0.67,0.61,0.58,0.55,0.62,0.6,0.48,0.35,LB,DEF,1
Sun Jie,CB,China PR,0.61,0.39,0.42,0.51,0.54,0.59,0.75,0.46,0.33,0.55,0.34,0.53,0.48,0.78,0.72,0.71,0.59,0.57,0.59,0.56,0.68,0.54,CB,DEF,5
Lamine Sy,RB,France,0.61,0.77,0.38,0.51,0.59,0.55,0.54,0.8,0.75,0.73,0.8,0.61,0.49,0.48,0.68,0.57,0.59,0.56,0.55,0.53,0.48,0.41,RB,DEF,1
Max Taylor,CB,England,0.61,0.54,0.34,0.45,0.45,0.58,0.75,0.52,0.55,0.34,0.39,0.51,0.5,0.83,0.66,0.74,0.6,0.61,0.56,0.53,0.62,0.46,CB,DEF,5
Kosi Thompson,RB,Canada,0.61,0.81,0.5,0.54,0.6,0.55,0.63,0.81,0.81,0.61,0.58,0.61,0.49,0.65,0.64,0.72,0.55,0.54,0.55,0.54,0.53,0.55,RB,DEF,1
Antonio Tikvić,CB,Croatia,0.61,0.35,0.31,0.42,0.42,0.6,0.68,0.33,0.36,0.32,0.34,0.49,0.57,0.8,0.53,0.66,0.61,0.59,0.6,0.59,0.63,0.42,CB,DEF,5
Mohammed Tolba,RB,Germany,0.61,0.57,0.38,0.53,0.6,0.61,0.63,0.53,0.61,0.67,0.65,0.57,0.54,0.63,0.54,0.61,0.62,0.62,0.59,0.61,0.58,0.51,RB,DEF,1
Tong Lei,RB,China PR,0.61,0.73,0.51,0.53,0.61,0.53,0.65,0.76,0.7,0.75,0.63,0.61,0.57,0.64,0.73,0.65,0.54,0.53,0.5,0.58,0.45,0.48,RB,DEF,1
Cristian Toro,CB,Chile,0.61,0.64,0.38,0.38,0.56,0.6,0.69,0.66,0.62,0.58,0.67,0.55,0.6,0.75,0.66,0.74,0.61,0.6,0.61,0.56,0.61,0.48,CB,DEF,5
Luke Turner,CB,Republic of Ireland,0.61,0.53,0.28,0.41,0.41,0.61,0.71,0.55,0.52,0.51,0.52,0.48,0.56,0.75,0.71,0.68,0.62,0.59,0.61,0.59,0.59,0.32,CB,DEF,5
Tariq Uwakwe,LB,England,0.61,0.72,0.5,0.56,0.57,0.55,0.62,0.72,0.72,0.64,0.69,0.55,0.55,0.59,0.81,0.6,0.55,0.54,0.57,0.57,0.47,0.55,LB,DEF,1
Ronald Vega,CB,Peru,0.61,0.63,0.24,0.32,0.36,0.62,0.66,0.62,0.63,0.5,0.58,0.42,0.62,0.7,0.61,0.66,0.67,0.63,0.61,0.6,0.55,0.33,CB,DEF,5
Sascha Voelcke,LB,Germany,0.61,0.69,0.34,0.49,0.57,0.59,0.59,0.68,0.7,0.63,0.61,0.53,0.59,0.61,0.57,0.63,0.61,0.58,0.58,0.59,0.54,0.37,LB,DEF,1
Robert Voloder,CB,Germany,0.61,0.67,0.27,0.41,0.5,0.62,0.63,0.63,0.71,0.51,0.58,0.5,0.54,0.69,0.59,0.66,0.64,0.64,0.62,0.61,0.56,0.4,CB,DEF,5
Reuell Walters,RB,England,0.61,0.65,0.3,0.4,0.52,0.65,0.59,0.63,0.66,0.54,0.66,0.39,0.6,0.58,0.6,0.61,0.71,0.69,0.62,0.61,0.55,0.34,RB,DEF,5
August Wängberg,RB,Sweden,0.61,0.6,0.34,0.49,0.54,0.57,0.72,0.61,0.59,0.62,0.63,0.53,0.58,0.73,0.79,0.63,0.6,0.58,0.56,0.58,0.49,0.33,RB,DEF,5
Ben Warland,CB,Australia,0.61,0.38,0.34,0.47,0.46,0.6,0.73,0.33,0.42,0.5,0.57,0.46,0.56,0.79,0.67,0.65,0.61,0.58,0.6,0.59,0.61,0.45,CB,DEF,5
Lasse Wilhelm,CB,Germany,0.61,0.59,0.31,0.48,0.5,0.63,0.56,0.55,0.63,0.55,0.55,0.5,0.59,0.65,0.37,0.65,0.64,0.62,0.62,0.62,0.62,0.48,CB,DEF,5
Josh Williams,RB,England,0.61,0.78,0.45,0.53,0.57,0.56,0.6,0.74,0.82,0.66,0.63,0.55,0.57,0.6,0.58,0.65,0.59,0.57,0.55,0.55,0.5,0.48,RB,DEF,1
Max Williamsen,CB,Norway,0.61,0.52,0.36,0.46,0.5,0.6,0.67,0.53,0.52,0.61,0.53,0.54,0.56,0.75,0.55,0.67,0.6,0.62,0.6,0.6,0.57,0.58,CB,DEF,5
Tyreke Wilson,LB,Republic of Ireland,0.61,0.7,0.42,0.56,0.61,0.56,0.56,0.72,0.68,0.71,0.76,0.59,0.51,0.5,0.65,0.55,0.6,0.59,0.54,0.57,0.46,0.56,LB,DEF,1
Connor Wood,LB,England,0.61,0.75,0.5,0.53,0.6,0.54,0.65,0.73,0.77,0.82,0.8,0.55,0.56,0.62,0.74,0.63,0.57,0.54,0.53,0.55,0.48,0.6,LB,DEF,1
David Worrall,RB,England,0.61,0.75,0.56,0.61,0.63,0.52,0.59,0.76,0.74,0.8,0.82,0.6,0.58,0.54,0.73,0.71,0.49,0.51,0.54,0.53,0.53,0.62,RB,DEF,1
François Yabré,CB,Burkina Faso,0.61,0.63,0.31,0.33,0.36,0.62,0.76,0.61,0.64,0.33,0.56,0.35,0.64,0.85,0.68,0.69,0.63,0.54,0.66,0.63,0.48,0.39,CB,DEF,5
Yang Yiming,CB,China PR,0.61,0.48,0.5,0.39,0.47,0.59,0.74,0.42,0.52,0.49,0.33,0.53,0.51,0.86,0.59,0.74,0.59,0.55,0.58,0.55,0.69,0.53,CB,DEF,5
Yu Rui,CB,China PR,0.61,0.52,0.39,0.51,0.52,0.59,0.74,0.51,0.52,0.4,0.67,0.51,0.55,0.81,0.66,0.74,0.58,0.56,0.61,0.57,0.64,0.51,CB,DEF,5
Yuan Mincheng,CB,China PR,0.61,0.61,0.24,0.36,0.34,0.64,0.76,0.49,0.7,0.58,0.54,0.29,0.51,0.89,0.72,0.72,0.63,0.58,0.71,0.6,0.56,0.32,CB,DEF,5
Yue Xin,LB,China PR,0.61,0.78,0.24,0.43,0.56,0.54,0.6,0.79,0.78,0.58,0.72,0.53,0.68,0.57,0.67,0.7,0.6,0.55,0.5,0.5,0.58,0.24,LB,DEF,1
Fahad Al Abdulrazzaq,RB,Saudi Arabia,0.6,0.74,0.34,0.53,0.54,0.54,0.56,0.75,0.73,0.63,0.49,0.53,0.52,0.56,0.6,0.56,0.59,0.61,0.53,0.52,0.43,0.33,RB,DEF,4
Khalifa Al Dawsari,CB,Saudi Arabia,0.6,0.71,0.38,0.45,0.51,0.58,0.7,0.7,0.71,0.49,0.66,0.51,0.54,0.73,0.64,0.8,0.6,0.59,0.56,0.59,0.55,0.5,CB,DEF,5
Amaar Al Dohaim,CB,Saudi Arabia,0.6,0.64,0.41,0.45,0.48,0.59,0.69,0.62,0.66,0.66,0.56,0.51,0.5,0.73,0.6,0.79,0.6,0.63,0.58,0.57,0.59,0.38,CB,DEF,5
Dhari Al Enazi,LB,Saudi Arabia,0.6,0.7,0.3,0.47,0.55,0.54,0.56,0.72,0.69,0.71,0.6,0.54,0.58,0.5,0.7,0.59,0.6,0.6,0.5,0.56,0.4,0.24,LB,DEF,1
Aref Al Haider,RB,Saudi Arabia,0.6,0.85,0.5,0.52,0.61,0.52,0.64,0.89,0.82,0.81,0.8,0.55,0.5,0.58,0.75,0.62,0.54,0.5,0.53,0.54,0.41,0.54,RB,DEF,1
Bandar Al Mutairi,LB,Saudi Arabia,0.6,0.77,0.28,0.51,0.57,0.54,0.55,0.77,0.77,0.75,0.8,0.54,0.47,0.45,0.74,0.58,0.58,0.56,0.54,0.52,0.4,0.34,LB,DEF,1
Abdulrahman Al Obaid,LB,Saudi Arabia,0.6,0.68,0.57,0.62,0.62,0.54,0.58,0.7,0.66,0.71,0.73,0.61,0.55,0.58,0.53,0.69,0.54,0.57,0.52,0.54,0.52,0.66,LB,DEF,1
Ibrahim Al Shuayl,LB,Saudi Arabia,0.6,0.68,0.42,0.58,0.58,0.55,0.54,0.7,0.67,0.68,0.71,0.55,0.48,0.58,0.56,0.53,0.58,0.58,0.56,0.55,0.44,0.66,LB,DEF,1
César Álvarez,RB,Spain,0.6,0.77,0.36,0.48,0.55,0.57,0.56,0.71,0.81,0.73,0.65,0.49,0.55,0.55,0.58,0.61,0.61,0.57,0.54,0.6,0.51,0.34,RB,DEF,1
Harry Amass,LB,England,0.6,0.73,0.29,0.46,0.61,0.55,0.58,0.7,0.76,0.7,0.68,0.59,0.52,0.56,0.66,0.56,0.6,0.58,0.53,0.53,0.45,0.35,LB,DEF,1
Marius Antoche,CB,Romania,0.6,0.49,0.34,0.5,0.49,0.58,0.62,0.5,0.48,0.55,0.59,0.49,0.58,0.71,0.35,0.67,0.59,0.56,0.56,0.56,0.62,0.46,CB,DEF,5
Georgios Antzoulas,CB,Greece,0.6,0.62,0.46,0.54,0.54,0.57,0.66,0.62,0.62,0.5,0.52,0.58,0.58,0.69,0.64,0.69,0.58,0.56,0.56,0.56,0.61,0.46,CB,DEF,5
Pablo Aranda,RB,Argentina,0.6,0.64,0.29,0.39,0.53,0.63,0.57,0.65,0.63,0.59,0.66,0.49,0.54,0.57,0.53,0.51,0.67,0.69,0.64,0.62,0.44,0.26,RB,DEF,4
Hodei Arrillaga,LB,Spain,0.6,0.64,0.35,0.42,0.59,0.59,0.49,0.65,0.63,0.58,0.77,0.45,0.62,0.39,0.61,0.45,0.68,0.64,0.54,0.57,0.5,0.33,LB,DEF,4
David Atanaskoski,LB,North Macedonia,0.6,0.63,0.45,0.59,0.56,0.54,0.57,0.62,0.64,0.6,0.67,0.6,0.56,0.54,0.65,0.52,0.59,0.57,0.52,0.52,0.48,0.46,LB,DEF,1
Matt Baker,CB,Wales,0.6,0.63,0.26,0.42,0.39,0.6,0.67,0.62,0.64,0.4,0.57,0.43,0.52,0.72,0.59,0.72,0.64,0.61,0.56,0.56,0.62,0.36,CB,DEF,5
Ben Barclay,CB,England,0.6,0.53,0.35,0.42,0.5,0.58,0.71,0.54,0.52,0.61,0.59,0.51,0.57,0.79,0.65,0.7,0.59,0.57,0.57,0.58,0.59,0.44,CB,DEF,5
Lachlan Barr,CB,Australia,0.6,0.54,0.37,0.42,0.42,0.57,0.75,0.47,0.6,0.49,0.49,0.43,0.57,0.82,0.65,0.72,0.57,0.56,0.57,0.56,0.61,0.5,CB,DEF,5
Kaare Barslund,CB,Denmark,0.6,0.65,0.29,0.48,0.6,0.59,0.62,0.69,0.62,0.63,0.72,0.62,0.58,0.65,0.58,0.67,0.61,0.59,0.58,0.56,0.57,0.41,CB,DEF,1
Josh Bauer,CB,United States,0.6,0.58,0.24,0.46,0.42,0.61,0.66,0.58,0.58,0.44,0.47,0.42,0.59,0.72,0.62,0.64,0.66,0.62,0.59,0.61,0.52,0.41,CB,DEF,5
Jamir Berdecio,RB,Bolivia,0.6,0.62,0.56,0.58,0.6,0.54,0.6,0.61,0.63,0.6,0.7,0.58,0.58,0.6,0.66,0.62,0.59,0.58,0.48,0.55,0.55,0.55,RB,DEF,1
Bi Jinhao,CB,China PR,0.6,0.52,0.58,0.55,0.56,0.55,0.75,0.54,0.5,0.55,0.63,0.57,0.54,0.81,0.66,0.76,0.54,0.54,0.51,0.55,0.7,0.62,CB,DEF,5
Giuseppe Bovalina,RB,Australia,0.6,0.72,0.48,0.52,0.6,0.53,0.65,0.73,0.71,0.76,0.77,0.57,0.59,0.62,0.7,0.69,0.55,0.52,0.47,0.56,0.57,0.54,RB,DEF,1
Andy Boyle,CB,Republic of Ireland,0.6,0.33,0.37,0.49,0.4,0.58,0.68,0.33,0.33,0.44,0.36,0.46,0.62,0.74,0.58,0.62,0.58,0.57,0.61,0.54,0.61,0.54,CB,DEF,5
Tarek Buchmann,CB,Germany,0.6,0.57,0.29,0.4,0.41,0.61,0.65,0.55,0.59,0.5,0.4,0.41,0.57,0.75,0.54,0.67,0.67,0.6,0.59,0.57,0.55,0.47,CB,DEF,5
Stijn Bultman,CB,Holland,0.6,0.68,0.39,0.46,0.49,0.59,0.64,0.67,0.68,0.67,0.64,0.56,0.55,0.69,0.55,0.64,0.6,0.55,0.56,0.65,0.52,0.62,CB,DEF,1
Abdulsamet Burak,CB,Turkey,0.6,0.58,0.35,0.49,0.53,0.6,0.65,0.63,0.54,0.54,0.58,0.55,0.49,0.66,0.6,0.66,0.62,0.63,0.6,0.58,0.58,0.57,CB,DEF,5
Jens Buss,LB,Chile,0.6,0.62,0.37,0.48,0.52,0.57,0.7,0.63,0.61,0.55,0.54,0.56,0.52,0.76,0.65,0.69,0.6,0.62,0.56,0.54,0.53,0.45,LB,DEF,5
Calderón,LB,Spain,0.6,0.71,0.34,0.44,0.58,0.58,0.53,0.74,0.69,0.64,0.79,0.54,0.51,0.5,0.63,0.55,0.62,0.61,0.54,0.6,0.46,0.39,LB,DEF,1
Axel Cañete,RB,Paraguay,0.6,0.63,0.32,0.47,0.52,0.6,0.59,0.62,0.63,0.6,0.59,0.49,0.57,0.6,0.61,0.66,0.63,0.58,0.58,0.6,0.61,0.41,RB,DEF,5
Jake Carroll,LB,Republic of Ireland,0.6,0.72,0.39,0.59,0.57,0.59,0.53,0.73,0.72,0.59,0.53,0.58,0.56,0.6,0.34,0.65,0.6,0.59,0.59,0.6,0.52,0.47,LB,DEF,1
James Clarke,CB,England,0.6,0.43,0.41,0.48,0.47,0.58,0.75,0.48,0.39,0.45,0.54,0.47,0.52,0.81,0.69,0.7,0.59,0.56,0.58,0.57,0.59,0.54,CB,DEF,5
