Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,att_cluster
Renzo Machado,ST,Uruguay,0.62,0.68,0.65,0.49,0.61,0.3,0.6,0.67,0.68,0.67,0.56,0.59,0.59,0.69,0.57,0.62,0.26,0.28,0.29,0.27,0.49,0.6,ST,ATT,5
Curtis Main,ST,England,0.62,0.69,0.61,0.47,0.56,0.32,0.77,0.66,0.72,0.62,0.57,0.56,0.58,0.82,0.64,0.8,0.26,0.22,0.36,0.22,0.67,0.79,ST,ATT,1
John Marquis,ST,England,0.62,0.51,0.62,0.51,0.58,0.39,0.79,0.52,0.51,0.6,0.66,0.59,0.58,0.81,0.76,0.74,0.42,0.38,0.31,0.33,0.66,0.67,ST,ATT,1
Max Mata,ST,New Zealand,0.62,0.72,0.61,0.48,0.58,0.24,0.72,0.7,0.74,0.52,0.5,0.62,0.52,0.73,0.68,0.84,0.25,0.28,0.14,0.16,0.65,0.6,ST,ATT,5
Conor McAleny,LW,England,0.62,0.8,0.6,0.56,0.64,0.26,0.55,0.8,0.8,0.84,0.84,0.6,0.58,0.46,0.7,0.56,0.23,0.2,0.26,0.22,0.48,0.64,LW,ATT,7
Charlie McNeill,ST,England,0.62,0.7,0.63,0.55,0.61,0.22,0.6,0.71,0.69,0.72,0.75,0.62,0.6,0.63,0.63,0.65,0.2,0.17,0.15,0.23,0.5,0.65,ST,ATT,5
Richard Meier,ST,Germany,0.62,0.64,0.61,0.5,0.6,0.34,0.7,0.63,0.64,0.7,0.62,0.59,0.61,0.83,0.65,0.78,0.28,0.27,0.34,0.33,0.62,0.6,ST,ATT,1
José Menor,ST,Spain,0.62,0.74,0.66,0.51,0.62,0.23,0.46,0.76,0.72,0.55,0.74,0.6,0.61,0.45,0.53,0.64,0.15,0.19,0.21,0.2,0.62,0.62,ST,ATT,5
Kai Meriluoto,ST,Finland,0.62,0.73,0.61,0.52,0.64,0.19,0.56,0.76,0.7,0.72,0.69,0.64,0.62,0.57,0.62,0.66,0.16,0.18,0.15,0.11,0.54,0.62,ST,ATT,5
George Miller,ST,England,0.62,0.83,0.61,0.51,0.61,0.37,0.69,0.81,0.84,0.8,0.77,0.57,0.59,0.65,0.69,0.75,0.39,0.26,0.34,0.35,0.57,0.63,ST,ATT,2
Jack Moylan,ST,Republic of Ireland,0.62,0.73,0.62,0.58,0.64,0.45,0.62,0.75,0.72,0.67,0.64,0.63,0.62,0.57,0.68,0.64,0.51,0.48,0.39,0.42,0.52,0.62,ST,ATT,2
Samuel Mráz,ST,Slovakia,0.62,0.72,0.6,0.53,0.62,0.32,0.58,0.7,0.73,0.66,0.51,0.6,0.65,0.58,0.67,0.68,0.23,0.2,0.45,0.13,0.65,0.66,ST,ATT,5
Amine Naïfi,ST,France,0.62,0.8,0.61,0.59,0.68,0.32,0.54,0.8,0.8,0.79,0.68,0.67,0.57,0.5,0.6,0.59,0.34,0.33,0.27,0.26,0.48,0.65,ST,ATT,7
Tom Nichols,ST,England,0.62,0.76,0.6,0.59,0.65,0.41,0.67,0.78,0.74,0.83,0.78,0.62,0.63,0.62,0.84,0.83,0.44,0.35,0.31,0.43,0.6,0.61,ST,ATT,2
Charly Nouck,LW,Denmark,0.62,0.87,0.5,0.46,0.69,0.22,0.51,0.86,0.88,0.68,0.72,0.69,0.58,0.44,0.62,0.48,0.23,0.21,0.19,0.2,0.33,0.54,LW,ATT,0
Silas Nwankwo,ST,Nigeria,0.62,0.82,0.59,0.46,0.61,0.27,0.72,0.83,0.82,0.75,0.76,0.58,0.55,0.8,0.64,0.86,0.28,0.23,0.2,0.21,0.62,0.55,ST,ATT,5
Rhys Oates,ST,England,0.62,0.83,0.6,0.51,0.61,0.38,0.72,0.81,0.85,0.64,0.8,0.57,0.62,0.78,0.64,0.79,0.38,0.29,0.31,0.44,0.54,0.64,ST,ATT,2
Obilor Denzel Okeke,LW,Norway,0.62,0.78,0.59,0.55,0.65,0.21,0.6,0.77,0.78,0.78,0.81,0.63,0.56,0.6,0.63,0.59,0.21,0.2,0.18,0.17,0.4,0.63,LW,ATT,5
Toyosi Olusanya,ST,England,0.62,0.83,0.59,0.51,0.64,0.22,0.42,0.81,0.85,0.75,0.67,0.62,0.61,0.47,0.39,0.63,0.17,0.16,0.22,0.18,0.55,0.6,ST,ATT,0
Promise Omochere,ST,Republic of Ireland,0.62,0.74,0.59,0.55,0.63,0.43,0.73,0.72,0.76,0.71,0.67,0.62,0.6,0.8,0.73,0.78,0.38,0.37,0.45,0.42,0.56,0.6,ST,ATT,2
Marcos Ovejero,ST,Argentina,0.62,0.76,0.64,0.58,0.68,0.35,0.48,0.77,0.75,0.8,0.85,0.65,0.54,0.48,0.36,0.56,0.43,0.24,0.28,0.32,0.47,0.66,ST,ATT,7
Joaquín Panichelli,ST,Argentina,0.62,0.54,0.65,0.44,0.57,0.2,0.58,0.53,0.55,0.5,0.49,0.55,0.58,0.68,0.59,0.72,0.16,0.18,0.12,0.11,0.71,0.62,ST,ATT,6
Mateo Pellegrino,ST,Argentina,0.62,0.54,0.63,0.46,0.57,0.3,0.69,0.52,0.55,0.49,0.55,0.62,0.58,0.81,0.54,0.76,0.27,0.33,0.23,0.21,0.7,0.7,ST,ATT,1
Sonny Perkins,ST,England,0.62,0.67,0.61,0.53,0.62,0.24,0.62,0.64,0.7,0.66,0.64,0.63,0.59,0.68,0.61,0.66,0.2,0.2,0.21,0.2,0.55,0.67,ST,ATT,5
Joel Persson,ST,Sweden,0.62,0.54,0.6,0.42,0.56,0.31,0.71,0.42,0.64,0.46,0.35,0.63,0.59,0.83,0.58,0.77,0.25,0.26,0.27,0.28,0.72,0.6,ST,ATT,1
Joe Pigott,ST,England,0.62,0.63,0.61,0.52,0.61,0.3,0.69,0.67,0.59,0.59,0.59,0.63,0.61,0.77,0.67,0.76,0.3,0.22,0.28,0.23,0.62,0.64,ST,ATT,1
Luke Plange,ST,England,0.62,0.68,0.63,0.49,0.64,0.33,0.54,0.67,0.69,0.65,0.69,0.64,0.59,0.58,0.56,0.65,0.3,0.28,0.32,0.28,0.61,0.65,ST,ATT,5
Aaron Pressley,ST,Scotland,0.62,0.7,0.59,0.44,0.56,0.24,0.75,0.68,0.72,0.54,0.4,0.6,0.57,0.84,0.67,0.81,0.21,0.2,0.17,0.18,0.65,0.58,ST,ATT,5
Simone Rabbi,ST,Italy,0.62,0.62,0.62,0.52,0.62,0.4,0.55,0.64,0.61,0.52,0.67,0.65,0.6,0.58,0.51,0.62,0.34,0.38,0.45,0.33,0.58,0.58,ST,ATT,2
Rodrigo Macedo,ST,Portugal,0.62,0.6,0.62,0.47,0.58,0.22,0.66,0.62,0.59,0.61,0.61,0.59,0.62,0.7,0.63,0.69,0.21,0.2,0.16,0.16,0.61,0.59,ST,ATT,6
Cristiano,RW,Brazil,0.62,0.74,0.56,0.54,0.67,0.25,0.49,0.77,0.71,0.7,0.72,0.64,0.6,0.49,0.61,0.49,0.23,0.26,0.23,0.25,0.32,0.6,RW,ATT,0
Logan Rogerson,RW,New Zealand,0.62,0.81,0.59,0.53,0.64,0.43,0.62,0.8,0.81,0.76,0.74,0.58,0.55,0.59,0.65,0.7,0.42,0.35,0.4,0.44,0.56,0.56,RW,ATT,2
Imad Rondić,ST,Bosnia and Herzegovina,0.62,0.63,0.62,0.43,0.58,0.28,0.68,0.6,0.65,0.52,0.52,0.58,0.59,0.77,0.65,0.75,0.25,0.2,0.27,0.18,0.66,0.65,ST,ATT,1
Jacen Russell-Rowe,ST,Canada,0.62,0.71,0.59,0.46,0.58,0.17,0.63,0.72,0.7,0.6,0.58,0.58,0.55,0.72,0.58,0.75,0.11,0.17,0.11,0.12,0.59,0.59,ST,ATT,5
Ramien Safi,LW,Holland,0.62,0.77,0.64,0.53,0.64,0.27,0.51,0.77,0.77,0.7,0.71,0.62,0.6,0.52,0.66,0.54,0.25,0.27,0.21,0.32,0.41,0.69,LW,ATT,7
Yousef Salech,ST,Denmark,0.62,0.66,0.61,0.42,0.61,0.2,0.67,0.63,0.69,0.56,0.49,0.63,0.58,0.84,0.66,0.76,0.11,0.16,0.19,0.15,0.59,0.58,ST,ATT,5
Lucas Sanseviero,RW,Uruguay,0.62,0.84,0.62,0.46,0.65,0.25,0.5,0.83,0.84,0.76,0.51,0.63,0.53,0.48,0.7,0.53,0.25,0.32,0.23,0.17,0.38,0.62,RW,ATT,0
Aaron-Sky Schwarz,LW,Austria,0.62,0.71,0.6,0.59,0.63,0.3,0.63,0.7,0.72,0.62,0.57,0.64,0.51,0.72,0.57,0.68,0.32,0.27,0.23,0.28,0.51,0.59,LW,ATT,5
Khiry Shelton,ST,United States,0.62,0.73,0.57,0.56,0.61,0.36,0.78,0.72,0.74,0.65,0.53,0.63,0.57,0.88,0.68,0.84,0.4,0.35,0.3,0.28,0.6,0.64,ST,ATT,5
Connor Shields,ST,Scotland,0.62,0.71,0.61,0.56,0.63,0.38,0.59,0.68,0.74,0.69,0.62,0.62,0.62,0.56,0.71,0.62,0.43,0.38,0.3,0.32,0.56,0.61,ST,ATT,2
Stiven Shpendi,ST,Albania,0.62,0.61,0.64,0.46,0.64,0.22,0.54,0.67,0.56,0.57,0.59,0.66,0.6,0.6,0.48,0.66,0.19,0.21,0.19,0.13,0.59,0.61,ST,ATT,6
Oskar Sivertsen,LW,Norway,0.62,0.81,0.56,0.56,0.63,0.28,0.39,0.83,0.79,0.84,0.8,0.62,0.5,0.35,0.5,0.51,0.28,0.3,0.22,0.26,0.46,0.57,LW,ATT,0
Jaden Slory,RW,Holland,0.62,0.84,0.57,0.51,0.67,0.28,0.43,0.83,0.84,0.83,0.69,0.67,0.49,0.43,0.52,0.5,0.28,0.29,0.27,0.22,0.43,0.64,RW,ATT,0
Harry Smith,ST,England,0.62,0.51,0.61,0.48,0.53,0.41,0.79,0.5,0.52,0.33,0.33,0.59,0.6,0.9,0.65,0.77,0.39,0.33,0.42,0.32,0.67,0.65,ST,ATT,1
Hubert Sobol,ST,Poland,0.62,0.69,0.63,0.45,0.57,0.31,0.59,0.7,0.69,0.7,0.68,0.56,0.56,0.67,0.62,0.7,0.23,0.25,0.37,0.21,0.6,0.62,ST,ATT,5
Tyrese Spicer,LW,Trinidad and Tobago,0.62,0.7,0.58,0.54,0.66,0.32,0.44,0.68,0.71,0.58,0.61,0.67,0.45,0.5,0.34,0.47,0.35,0.33,0.27,0.28,0.4,0.7,LW,ATT,0
Robert Street,ST,England,0.62,0.67,0.61,0.52,0.58,0.3,0.73,0.66,0.68,0.56,0.6,0.59,0.61,0.75,0.67,0.73,0.29,0.25,0.28,0.23,0.6,0.63,ST,ATT,5
Nikola Štulić,ST,Serbia,0.62,0.54,0.63,0.52,0.6,0.25,0.63,0.4,0.66,0.61,0.38,0.64,0.56,0.74,0.47,0.66,0.28,0.19,0.12,0.21,0.66,0.67,ST,ATT,1
Will Swan,ST,England,0.62,0.75,0.61,0.46,0.61,0.34,0.59,0.76,0.75,0.73,0.66,0.58,0.58,0.63,0.66,0.72,0.29,0.27,0.31,0.38,0.58,0.62,ST,ATT,5
Youssuf Sylla,ST,Belgium,0.62,0.69,0.61,0.47,0.61,0.2,0.72,0.66,0.71,0.59,0.47,0.62,0.56,0.88,0.58,0.8,0.19,0.17,0.13,0.15,0.6,0.61,ST,ATT,5
Semir Telalovic,ST,Germany,0.62,0.57,0.64,0.51,0.58,0.33,0.67,0.55,0.59,0.6,0.63,0.6,0.6,0.73,0.63,0.7,0.3,0.27,0.3,0.3,0.64,0.68,ST,ATT,1
Dom Telford,ST,England,0.62,0.77,0.62,0.49,0.66,0.25,0.6,0.77,0.77,0.88,0.9,0.61,0.62,0.54,0.75,0.68,0.13,0.12,0.3,0.22,0.6,0.62,ST,ATT,5
Emre Tezgel,ST,Turkey,0.62,0.68,0.63,0.47,0.6,0.33,0.55,0.64,0.71,0.56,0.64,0.6,0.59,0.56,0.51,0.62,0.32,0.3,0.28,0.29,0.58,0.66,ST,ATT,5
Timmy Thiele,ST,Germany,0.62,0.66,0.62,0.5,0.59,0.22,0.61,0.65,0.66,0.64,0.6,0.6,0.6,0.75,0.55,0.73,0.16,0.17,0.18,0.2,0.6,0.67,ST,ATT,5
Dawid Tkacz,LW,Poland,0.62,0.72,0.58,0.62,0.61,0.36,0.56,0.73,0.71,0.7,0.73,0.64,0.53,0.58,0.6,0.67,0.3,0.36,0.38,0.29,0.57,0.59,LW,ATT,5
Franco Tongya,RW,Italy,0.62,0.71,0.49,0.65,0.63,0.37,0.62,0.69,0.73,0.58,0.62,0.65,0.62,0.64,0.68,0.67,0.34,0.44,0.41,0.24,0.57,0.54,RW,ATT,2
Thilo Töpken,ST,Germany,0.62,0.7,0.6,0.5,0.57,0.46,0.73,0.68,0.72,0.57,0.55,0.55,0.59,0.85,0.63,0.8,0.47,0.44,0.42,0.44,0.61,0.61,ST,ATT,2
Alexandru Tudorie,ST,Romania,0.62,0.59,0.61,0.44,0.52,0.32,0.69,0.55,0.63,0.41,0.41,0.53,0.6,0.77,0.62,0.79,0.25,0.2,0.3,0.3,0.73,0.65,ST,ATT,1
Franco Umeh-Chibueze,RW,Republic of Ireland,0.62,0.76,0.6,0.52,0.64,0.53,0.6,0.78,0.75,0.7,0.7,0.62,0.55,0.57,0.54,0.69,0.54,0.55,0.52,0.52,0.56,0.67,RW,ATT,2
Jack Vale,ST,Wales,0.62,0.72,0.61,0.5,0.62,0.26,0.57,0.73,0.72,0.7,0.72,0.63,0.6,0.61,0.62,0.69,0.15,0.2,0.32,0.21,0.59,0.61,ST,ATT,5
Jort van der Sande,ST,Holland,0.62,0.62,0.63,0.56,0.62,0.27,0.59,0.59,0.64,0.6,0.63,0.62,0.61,0.6,0.58,0.63,0.24,0.27,0.25,0.2,0.59,0.63,ST,ATT,5
Cristhian Vargas,RW,Peru,0.62,0.64,0.6,0.5,0.66,0.23,0.43,0.66,0.63,0.61,0.68,0.65,0.65,0.48,0.4,0.44,0.25,0.26,0.18,0.2,0.39,0.66,RW,ATT,0
Alenis Vargas,RW,Honduras,0.62,0.88,0.56,0.57,0.6,0.3,0.65,0.86,0.9,0.54,0.51,0.63,0.52,0.66,0.59,0.81,0.28,0.3,0.24,0.26,0.65,0.65,RW,ATT,5
Yannis Verdier,LW,France,0.62,0.62,0.57,0.6,0.62,0.3,0.61,0.68,0.57,0.54,0.56,0.65,0.63,0.66,0.68,0.64,0.38,0.22,0.2,0.24,0.53,0.71,LW,ATT,1
Pau Víctor,ST,Spain,0.62,0.76,0.58,0.6,0.65,0.52,0.67,0.77,0.75,0.77,0.63,0.65,0.6,0.67,0.62,0.75,0.58,0.56,0.4,0.55,0.6,0.63,ST,ATT,2
Dioni,ST,Spain,0.62,0.58,0.62,0.47,0.58,0.25,0.67,0.54,0.61,0.49,0.48,0.57,0.56,0.78,0.56,0.71,0.19,0.15,0.29,0.15,0.6,0.73,ST,ATT,1
Felix Vá,RW,Angola,0.62,0.89,0.57,0.55,0.62,0.22,0.58,0.88,0.9,0.77,0.85,0.6,0.54,0.54,0.71,0.6,0.2,0.21,0.17,0.24,0.42,0.66,RW,ATT,7
Romeo Vucic,ST,Austria,0.62,0.64,0.62,0.48,0.61,0.19,0.63,0.62,0.65,0.7,0.59,0.62,0.55,0.73,0.56,0.72,0.19,0.18,0.11,0.1,0.6,0.63,ST,ATT,5
Jacob Wakeling,ST,England,0.62,0.8,0.6,0.5,0.63,0.21,0.61,0.81,0.8,0.79,0.8,0.6,0.59,0.6,0.66,0.73,0.19,0.15,0.16,0.16,0.58,0.62,ST,ATT,5
Niklas Jensen Wassberg,LW,Norway,0.62,0.68,0.54,0.58,0.67,0.5,0.53,0.69,0.67,0.76,0.86,0.66,0.6,0.44,0.7,0.5,0.49,0.49,0.5,0.5,0.53,0.57,LW,ATT,2
Jalal Abdullai,ST,Ghana,0.61,0.76,0.59,0.54,0.61,0.26,0.58,0.72,0.79,0.66,0.63,0.63,0.51,0.7,0.52,0.71,0.26,0.24,0.22,0.18,0.57,0.6,ST,ATT,5
Dan Adu-Adjei,ST,England,0.61,0.77,0.61,0.49,0.6,0.27,0.51,0.76,0.77,0.74,0.72,0.58,0.57,0.5,0.56,0.65,0.28,0.2,0.24,0.16,0.58,0.63,ST,ATT,5
Oscar Aga,ST,Norway,0.61,0.71,0.59,0.41,0.6,0.22,0.58,0.73,0.69,0.71,0.72,0.6,0.58,0.62,0.54,0.7,0.16,0.17,0.21,0.17,0.59,0.58,ST,ATT,5
Alexander Ahl Holmström,ST,Sweden,0.61,0.7,0.6,0.42,0.58,0.29,0.75,0.61,0.78,0.62,0.51,0.61,0.56,0.84,0.67,0.76,0.37,0.18,0.18,0.22,0.59,0.61,ST,ATT,5
Abdullah Al Hamdan,ST,Saudi Arabia,0.61,0.71,0.59,0.58,0.6,0.34,0.65,0.68,0.73,0.66,0.52,0.62,0.54,0.71,0.63,0.73,0.24,0.3,0.38,0.31,0.6,0.62,ST,ATT,5
Abdullah Al Salem,ST,Saudi Arabia,0.61,0.58,0.61,0.58,0.59,0.52,0.7,0.6,0.56,0.58,0.52,0.63,0.57,0.78,0.62,0.72,0.55,0.53,0.45,0.54,0.58,0.64,ST,ATT,2
Samuel Amo-Ameyaw,LW,England,0.61,0.78,0.54,0.53,0.65,0.28,0.4,0.79,0.77,0.81,0.84,0.61,0.56,0.32,0.58,0.44,0.28,0.26,0.23,0.26,0.44,0.58,LW,ATT,0
Pádraig Amond,ST,Republic of Ireland,0.61,0.36,0.64,0.5,0.59,0.33,0.67,0.34,0.38,0.59,0.65,0.63,0.54,0.73,0.62,0.62,0.22,0.18,0.43,0.29,0.6,0.65,ST,ATT,1
Adriano,ST,Brazil,0.61,0.79,0.57,0.61,0.69,0.24,0.53,0.78,0.8,0.82,0.78,0.68,0.57,0.51,0.62,0.62,0.24,0.21,0.2,0.19,0.52,0.54,ST,ATT,7
Emilio Aristizábal,ST,Colombia,0.61,0.72,0.62,0.42,0.6,0.22,0.62,0.72,0.72,0.73,0.62,0.6,0.52,0.7,0.6,0.72,0.12,0.1,0.2,0.3,0.58,0.62,ST,ATT,5
Ignacio Bailone,ST,Argentina,0.61,0.54,0.6,0.51,0.58,0.34,0.65,0.55,0.54,0.57,0.45,0.57,0.64,0.8,0.62,0.73,0.33,0.19,0.42,0.18,0.6,0.61,ST,ATT,1
Tammer Bany,ST,Denmark,0.61,0.69,0.62,0.5,0.63,0.19,0.59,0.67,0.7,0.61,0.64,0.64,0.54,0.6,0.59,0.65,0.14,0.16,0.15,0.14,0.57,0.64,ST,ATT,5
Tom Barlow,ST,United States,0.61,0.77,0.57,0.49,0.54,0.35,0.77,0.75,0.78,0.65,0.65,0.53,0.6,0.75,0.73,0.85,0.37,0.36,0.2,0.36,0.71,0.64,ST,ATT,5
Baselga,ST,Spain,0.61,0.66,0.64,0.52,0.63,0.25,0.53,0.65,0.67,0.61,0.68,0.6,0.6,0.57,0.6,0.62,0.18,0.2,0.32,0.14,0.56,0.62,ST,ATT,5
Eghosa Bello,ST,Nigeria,0.61,0.65,0.6,0.45,0.54,0.19,0.65,0.64,0.66,0.54,0.34,0.54,0.5,0.73,0.61,0.75,0.14,0.16,0.11,0.12,0.7,0.6,ST,ATT,6
Victory Beniangba,ST,Nigeria,0.61,0.6,0.64,0.44,0.49,0.21,0.57,0.6,0.6,0.59,0.54,0.48,0.6,0.68,0.53,0.68,0.19,0.17,0.15,0.14,0.6,0.56,ST,ATT,6
Noah Bischof,ST,Austria,0.61,0.78,0.59,0.49,0.64,0.22,0.55,0.81,0.75,0.8,0.6,0.62,0.65,0.56,0.63,0.67,0.2,0.11,0.21,0.19,0.52,0.61,ST,ATT,5
Carl Björk,ST,Sweden,0.61,0.78,0.59,0.52,0.6,0.27,0.63,0.77,0.78,0.71,0.6,0.61,0.57,0.67,0.66,0.74,0.24,0.21,0.22,0.27,0.58,0.6,ST,ATT,5
Gennaro Borrelli,ST,Italy,0.61,0.45,0.6,0.38,0.55,0.24,0.62,0.38,0.51,0.44,0.57,0.57,0.54,0.81,0.35,0.7,0.2,0.15,0.18,0.21,0.69,0.64,ST,ATT,6
Ryan Bowman,ST,England,0.61,0.58,0.6,0.47,0.59,0.31,0.78,0.54,0.61,0.63,0.62,0.6,0.6,0.8,0.78,0.82,0.25,0.22,0.33,0.26,0.63,0.64,ST,ATT,1
Mario Bratu,RW,Romania,0.61,0.8,0.57,0.61,0.62,0.28,0.44,0.81,0.8,0.81,0.75,0.6,0.54,0.38,0.61,0.46,0.25,0.3,0.29,0.22,0.4,0.68,RW,ATT,0
Rares Burnete,ST,Romania,0.61,0.55,0.65,0.45,0.61,0.23,0.56,0.52,0.57,0.48,0.56,0.65,0.54,0.59,0.5,0.61,0.16,0.21,0.17,0.22,0.62,0.64,ST,ATT,6
Mason Burstow,ST,England,0.61,0.73,0.6,0.45,0.58,0.2,0.65,0.71,0.75,0.57,0.54,0.58,0.58,0.77,0.53,0.77,0.18,0.12,0.15,0.15,0.58,0.65,ST,ATT,5
Joel Calicho,LW,Bolivia,0.61,0.72,0.54,0.56,0.64,0.4,0.63,0.69,0.75,0.67,0.69,0.67,0.55,0.68,0.71,0.56,0.41,0.36,0.39,0.44,0.39,0.62,LW,ATT,2
Haroune Camara,ST,Saudi Arabia,0.61,0.83,0.59,0.5,0.59,0.21,0.7,0.86,0.8,0.71,0.67,0.53,0.57,0.81,0.68,0.83,0.18,0.11,0.15,0.23,0.53,0.58,ST,ATT,5
Innes Cameron,ST,Scotland,0.61,0.53,0.61,0.55,0.57,0.47,0.73,0.5,0.55,0.55,0.67,0.59,0.58,0.78,0.65,0.72,0.45,0.42,0.44,0.48,0.66,0.68,ST,ATT,1
Adrian Caragea,LW,Romania,0.61,0.66,0.58,0.59,0.62,0.37,0.59,0.65,0.67,0.64,0.64,0.61,0.54,0.6,0.62,0.58,0.36,0.35,0.34,0.36,0.49,0.55,LW,ATT,0
Sergio Carrasco,ST,Chile,0.61,0.62,0.59,0.41,0.58,0.19,0.68,0.58,0.65,0.55,0.49,0.59,0.51,0.79,0.72,0.74,0.19,0.12,0.12,0.12,0.62,0.58,ST,ATT,6
Michael Cheek,ST,England,0.61,0.58,0.61,0.45,0.57,0.33,0.68,0.6,0.56,0.55,0.48,0.59,0.6,0.74,0.7,0.71,0.35,0.22,0.29,0.26,0.6,0.65,ST,ATT,1
Gustav Christensen,ST,Denmark,0.61,0.73,0.61,0.55,0.66,0.26,0.5,0.7,0.76,0.7,0.73,0.65,0.54,0.51,0.62,0.57,0.2,0.2,0.25,0.25,0.53,0.59,ST,ATT,0
Dennis Collander,RW,Sweden,0.61,0.72,0.49,0.57,0.65,0.57,0.64,0.72,0.72,0.81,0.8,0.64,0.63,0.65,0.55,0.59,0.62,0.56,0.56,0.58,0.42,0.5,RW,ATT,2
Vicente Conelli,ST,Chile,0.61,0.75,0.6,0.39,0.59,0.2,0.57,0.74,0.76,0.68,0.7,0.57,0.58,0.6,0.67,0.71,0.12,0.19,0.15,0.19,0.6,0.58,ST,ATT,5
Jack Cooper-Love,ST,Sweden,0.61,0.64,0.61,0.51,0.6,0.33,0.54,0.63,0.65,0.64,0.72,0.63,0.55,0.57,0.55,0.59,0.45,0.39,0.2,0.22,0.54,0.62,ST,ATT,0
Sonny Cox,ST,England,0.61,0.75,0.59,0.45,0.62,0.26,0.63,0.76,0.75,0.78,0.77,0.61,0.59,0.68,0.69,0.73,0.27,0.19,0.23,0.19,0.57,0.61,ST,ATT,5
Andy Dallas,ST,Scotland,0.61,0.81,0.59,0.46,0.6,0.28,0.59,0.83,0.79,0.65,0.65,0.58,0.55,0.6,0.67,0.74,0.24,0.21,0.26,0.26,0.58,0.62,ST,ATT,5
De Erjiaduo,ST,China PR,0.61,0.7,0.57,0.65,0.61,0.43,0.69,0.71,0.69,0.64,0.55,0.6,0.57,0.73,0.62,0.73,0.41,0.44,0.41,0.43,0.55,0.63,ST,ATT,2
Kristian Dennis,ST,England,0.61,0.53,0.62,0.52,0.61,0.37,0.72,0.51,0.54,0.7,0.68,0.59,0.63,0.73,0.71,0.68,0.38,0.22,0.32,0.4,0.62,0.62,ST,ATT,1
Babis Drakas,RW,Germany,0.61,0.77,0.58,0.54,0.63,0.24,0.5,0.79,0.76,0.84,0.82,0.59,0.54,0.43,0.55,0.47,0.27,0.25,0.19,0.16,0.42,0.64,RW,ATT,0
Aaron Drinan,ST,Republic of Ireland,0.61,0.76,0.59,0.49,0.62,0.32,0.64,0.76,0.76,0.7,0.72,0.6,0.57,0.64,0.7,0.74,0.29,0.22,0.33,0.24,0.6,0.62,ST,ATT,5
Cristian Dumitru,LW,Romania,0.61,0.75,0.58,0.53,0.64,0.37,0.52,0.77,0.73,0.74,0.75,0.62,0.58,0.46,0.68,0.5,0.29,0.3,0.41,0.46,0.42,0.66,LW,ATT,7
Ryan Edmondson,ST,England,0.61,0.57,0.62,0.41,0.56,0.26,0.73,0.53,0.6,0.55,0.48,0.6,0.54,0.84,0.53,0.75,0.16,0.19,0.33,0.15,0.64,0.67,ST,ATT,1
Jostein Ekeland,LW,Norway,0.61,0.68,0.57,0.57,0.64,0.22,0.59,0.72,0.65,0.73,0.73,0.63,0.6,0.65,0.65,0.7,0.18,0.14,0.2,0.16,0.56,0.56,LW,ATT,5
Aidomo Emakhu,ST,Republic of Ireland,0.61,0.76,0.58,0.54,0.61,0.38,0.6,0.75,0.76,0.65,0.55,0.61,0.58,0.62,0.62,0.69,0.36,0.33,0.34,0.39,0.55,0.57,ST,ATT,2
Carlos Espí,ST,Spain,0.61,0.62,0.6,0.5,0.54,0.36,0.58,0.63,0.61,0.64,0.5,0.55,0.6,0.64,0.6,0.7,0.34,0.31,0.33,0.31,0.7,0.58,ST,ATT,1
Kai Fotheringham,RW,Scotland,0.61,0.66,0.59,0.55,0.63,0.37,0.47,0.7,0.63,0.67,0.67,0.64,0.59,0.45,0.57,0.48,0.4,0.36,0.36,0.32,0.45,0.56,RW,ATT,0
Cristian Franco,ST,Uruguay,0.61,0.53,0.63,0.53,0.53,0.41,0.67,0.55,0.51,0.47,0.59,0.5,0.52,0.76,0.61,0.74,0.28,0.27,0.4,0.54,0.67,0.6,ST,ATT,1
Noel Futkeu,ST,Germany,0.61,0.6,0.62,0.48,0.58,0.27,0.52,0.55,0.64,0.58,0.61,0.6,0.59,0.57,0.55,0.62,0.29,0.18,0.21,0.17,0.65,0.61,ST,ATT,6
José Gallegos,LW,United States,0.61,0.76,0.5,0.54,0.66,0.31,0.5,0.82,0.71,0.84,0.81,0.6,0.58,0.42,0.52,0.47,0.25,0.3,0.37,0.3,0.36,0.5,LW,ATT,0
Ged Garner,ST,England,0.61,0.7,0.61,0.48,0.61,0.23,0.66,0.7,0.7,0.66,0.73,0.59,0.61,0.75,0.67,0.72,0.2,0.16,0.21,0.18,0.56,0.66,ST,ATT,5
Emrehan Gedikli,ST,Turkey,0.61,0.61,0.61,0.5,0.58,0.24,0.53,0.59,0.63,0.55,0.63,0.61,0.52,0.63,0.41,0.67,0.18,0.22,0.2,0.18,0.66,0.62,ST,ATT,6
Oscar Giménez,ST,Paraguay,0.61,0.6,0.58,0.5,0.59,0.25,0.65,0.67,0.55,0.66,0.42,0.62,0.6,0.74,0.55,0.75,0.21,0.17,0.23,0.16,0.66,0.65,ST,ATT,1
Natan Girma,ST,Switzerland,0.61,0.63,0.6,0.59,0.61,0.45,0.62,0.64,0.63,0.59,0.45,0.63,0.66,0.75,0.58,0.58,0.54,0.43,0.32,0.56,0.36,0.58,ST,ATT,2
